Position	Filename	Barcode	Family	Subfamily	Genus	Species	Genus_species	GBIF.ID	Country	State.or.Province	County	City	Locality	Image.Source	Notes	Brightness.Mean	Brightness.Median	Brightness.Standard.Deviation	bee_surface.area	hair_surface_area	pilosity	pilosity_percentage	abs_latitude	Taxonomic_Info	precip_annual	precip_seasonality	vapr	srad	tmin_coldest_month	temp_annual	temp_seasonality	tmax_hottest_month	sqrt_precip_annual	log_precip_seasonality	sqrt_temp_seasonality	sqrt_lightness	wwf_biome	collapsed_biomes	geometry	
35	SEMC1251098_Microsphecodes_truncaticaudus_F_hal_65_3x.jpg	SEMC1251098	Halictidae	Halictinae	Microsphecodes	truncaticaudus	Microsphecodes_truncaticaudus		Colombia			Cali	Valle del Cauca; Summit W	KU		83.79729462	73	55.75333023	2308305	997930	43.23%	43.23	3.45	Microsphecodes	2092	538.3532692	2.192500015	14.58233333	18.70000076	23.95000013	27.46900088	30.39999962	45.7383865	6.288514979	5.241087757	8.544003745	2	Tropical & Subtropical Forests	c(-76.5	 3.45)
36	SEMC1251170_Pseudepeolus_singularis_F_hal_65_2x.jpg	SEMC1251170	Apidae	Nomadinae	Pseudepeolus	singularis	Pseudepeolus_singularis		Argentina	Rio Negro		San Antonio Oeste		KU		82.93841553	69	59.36870193	4934099	1833112	37.15%	37.15	40.7	Pseudepeolus	279	60.62177826	0.94583333	15.68341667	15.80000019	15.18333344	564.6694059	30.10000038	16.70329309	4.104654206	23.76277353	8.306623863	8	Grasslands & Shrublands	c(-65	 -40.7)
37	SEMC1255628_Coelioxoides_waltheriae_F_hal_65_2x.jpg	SEMC1255628	Apidae	Apinae	Coelioxoides	waltheriae	Coelioxoides_waltheriae		Bolivia			Santa Cruz		KU		70.74288177	55	57.62162399	2395151	745601	31.13%	31.13	17.8	Coelioxoides_waltheriae~Apidae~Nomadinae~Coelioxoidini	1305	508.9226589	2.099999994	14.53808333	22.10000038	24.3083334	233.2559192	31.70000076	36.12478374	6.232296058	15.27271813	7.416198487	2	Tropical & Subtropical Forests	c(-63.2	 -17.8)
38	SEMC1292412_Arhysoceble_picta_F_hal_65_3x.jpg	SEMC1292412	Apidae	Apinae	Arhysoceble	picta	Arhysoceble_picta							KU		55.62094498	47	40.50759506	4451973	576765	12.96%	12.96	26.82414	Arhysoceble_picta~Apidae~Eucerinae~Tapinotaspidini	1003	740.2512882	1.545000007	15.22933333	20.20000076	20.125	471.2483217	31.70000076	31.67017524	6.606989707	21.70825469	6.8556546	1	Tropical & Subtropical Forests	c(-65.2226	 -26.82414)
39	SEMC1299192_Melectoides_politus_F_hal_65_3x.jpg	SEMC1299192	Apidae	Apinae	Melectoides	politus	Melectoides_politus		Argentina			Mendoza	Horcones	KU		60.17002106	44	50.81399536	5585774	1186437	21.24%	21.24	32.9	Melectoides_bellus~Apidae~Nomadinae~Isepeolini	254	122.1648166	0.964999999	17.12566667	16	15.63333352	591.5208924	30.89999962	15.93737745	4.805371089	24.32120253	6.633249581	8	Grasslands & Shrublands	c(-68.9	 -32.9)
40	SEMC1299281_Parepeolus_niger_F_hal_65_2x.jpg	SEMC1299281	Apidae	Nomadinae	Parepeolus	niger	Parepeolus_niger							KU		47.39580536	30	50.21631241	3573159	448994	12.57%	12.57	26.82414	Parepeolus_aterrimus~Apidae~Nomadinae~Parepeolini	1003	740.2512882	1.545000007	15.22933333	20.20000076	20.125	471.2483217	31.70000076	31.67017524	6.606989707	21.70825469	5.477225575	1	Tropical & Subtropical Forests	c(-65.2226	 -26.82414)
41	SEMC1305893_Melitoma_segmentaria_F_hal_65_2x.jpg	SEMC1305893	Apidae	Xylocopinae	Melitoma	segmentaria	Melitoma_segmentaria							KU		63.319664	48	53.87604141	3340888	708626	21.21%	21.21	34.549	Melitoma_nudipes~Apidae~Eucerinae~Emphorini	1069	226.0111958	1.421666662	15.87916667	18.60000038	17.40833322	487.3948856	30	32.69556545	5.420584537	22.07702167	6.92820323	8	Grasslands & Shrublands	c(-58.558	 -34.549)
42	SEMC1380241_Meliponula_erythra_F_hal_65_3x.jpg	SEMC1380241	Apidae	Apinae	Meliponula	erythra	Meliponula_erythra							KU		80.5632782	68	58.71560287	3230608	1211117	37.49%	37.49	23.54	Meliponula_bocandei~Apidae~Apinae~Meliponini	620	425.4694377	1.387500008	19.63725	17	18.60000006	360.8575749	28.20000076	24.8997992	6.053193119	18.9962516	8.246211251	7	Grasslands & Shrublands	c(29.45	 -23.54)
43	SEMC1382498_Oxytrigona_flaveola_F_hal_65_3x.jpg	SEMC1382498	Apidae	Apinae	Oxytrigona	flaveola	Oxytrigona_flaveola							KU		108.0599442	101	71.71137238	4432202	3036130	68.50%	68.5	14.46667	Oxytrigona_obscura~Apidae~Apinae~Meliponini	1797	821.2864078	2.238333344	14.32075	20.20000076	23.52499978	140.2027863	30.60000038	42.39103679	6.710871901	11.84072575	10.04987562	1	Tropical & Subtropical Forests	c(-67.56667	 -14.46667)
44	SEMC1391931_Plebeina_denoiti_F_hal_65_3x.jpg	SEMC1391931	Apidae	Apinae	Plebeina	denoiti	Plebeina_denoiti		South Africa	KwaZulu-Natal		Empangeni		KU		121.2052612	121	63.78477478	3818247	2584414	67.69%	67.69	28.8	Plebeina_armata~Apidae~Apinae~Meliponini	1098	334.9219719	1.968333314	16.96925	20	21.28333346	276.4657902	29.60000038	33.13608305	5.813897585	16.62726045	11	1	Tropical & Subtropical Forests	c(31.9	 -28.8)
45	SEMC0992061_Brachyhesma_incompleta_F_hal_65_5x.jpg	SEMC0992061	Colletidae	Euryglossinae	Brachyhesma	incompleta	Brachyhesma_incompleta		Australia	Queensland			Mount Tamborine	KU		83.95428467	74	57.53445053	2742891	1346903	49.11%	49.11	27.9	NA	1057	429.5972391	1.591666669	17.92725	19.20000076	19.59166686	401.3717016	29.89999962	32.51153641	6.062848117	20.03426319	8.602325267	4	Temperate Forests	c(153	 -27.9)
46	SM0505089_Cephalotrigona_zexmeniae_F_hal_65_2x.jpg	SM0505089	Apidae	Apinae	Cephalotrigona	zexmeniae	Cephalotrigona_zexmeniae		Mexico	Yucatan		Yaxcaba		KU		80.97483063	64	65.41165161	2850725	1260786	44.23%	44.23	20.5	Cephalotrigona_capitata~Apidae~Apinae~Meliponini	1166	639.8981927	2.484166642	18.0655	21.29999924	25.81666644	192.0148331	36	34.14674216	6.46130909	13.8569417	8	2	Tropical & Subtropical Forests	c(-88.8	 20.5)
47	SM0739613_Halictillus_loureiroi_F_hal_65_3x.jpg	SM0739613	Halictidae	Halictinae	Halictillus	loureiroi	Halictillus_loureiroi							KU		86.39854431	76	60.70415497	3961956	1809211	45.66%	45.66	25.41667	Halictillus_loureiroi~Halictidae~Halictinae~Augochlorini	1560	391.3844889	1.565000008	13.4785	16.60000038	17.81666668	292.2276104	26.70000076	39.49683532	5.969690424	17.09466614	8.717797887	1	Tropical & Subtropical Forests	c(-49.25	 -25.41667)
48	SEMC1008700_Plesiopanurgus_ibex_F_hal_65_3x.jpg	SEMC1008700	Andrenidae	Panurginae	Plesiopanurgus	ibex	Plesiopanurgus_ibex							KU		71.3800354	59	55.0260849	7970132	2722526	34.16%	34.16	37.4336	Plesiopanurgus_zizus~Andrenidae~Panurginae~Panurgini	777	505.0315022	0.702500008	17.66933333	20.39999962	13.56666686	967.8780449	33.70000076	27.87471973	6.224620808	31.11073842	7.681145748	4	Temperate Forests	c(42.81886	 37.4336)
