Filename,Barcode,Barcode,Family,Subfamily,Genus,Species,Genus_species,Collection Date,Collection Date,Country,State or Province,County,City,Locality,Latitude,Longitude,Image Source,Notes,Brightness Mean,Brightness Median,Brightness Standard Deviation,bee_surface area,hair_surface_area,pilosity,pilosity_percentage
SM0174318_Rhectomia_caerulea_F_hal_65_3x.jpg,SM0174318,174318,Halictidae,Halictinae,Rhectomia,caerulea,Rhectomia_caerulea,2/9/99,2/9/99,NA,NA,NA,NA,NA,37.783,-94.8237,KU,NA,83.13304901,75,55.61099243,3564633,1342230,37.65%,37.65
SM0187769_Tetragonisca_fiebrigi_F_hal_65_4x.jpg,SM0187769,187769,Apidae,Apinae,Tetragonisca,fiebrigi,Tetragonisca_fiebrigi,NA,NA,NA,NA,NA,NA,NA,-19.9566667,-56.235,KU,NA,107.618042,99,66.06874847,3373306,2248149,66.65%,66.65
SM0187966_Parapartomona_vittigera_F_hal_65_2x.jpg,SM0187966,187966,Apidae,Apinae,Parapartomona,vittigera,Parapartomona_vittigera,10/28/99,10/28/99,NA,NA,NA,NA,NA,-0.015,-78.6822222,KU,NA,108.4357376,100,68.83027649,2489674,1617919,64.99%,64.99
SM0198011_Mexalictus_arizonensis_F_hal_65_3x.jpg,SM0198011,198011,Halictidae,Halictinae,Mexalictus,arizonensis,Mexalictus_arizonensis,8/30/00,8/30/00,NA,NA,NA,NA,NA,31.6961111,-110.8611111,KU,NA,76.08305359,69,48.57283401,3687960,1146328,31.08%,31.08
SM0205299_Pseudaugochlora_graminea_F_hal_65_3x.jpg,SM0205299,205299,Halictidae,Halictinae,Pseudaugochlora,graminea,Pseudaugochlora_graminea,7/2/61,7/2/61,Mexico,Morelos,NA,Yautepec,NA,18.9,-99.1,KU,NA,85.56440735,79,52.82866669,7942198,3109978,39.16%,39.16
SM0211830_Tetralonioidella_vulpecula_F_hal_65_2x.jpg,SM0211830,211830,Apidae,Apinae,Tetralonioidella,vulpecula,Tetralonioidella_vulpecula,NA,NA,NA,NA,NA,NA,NA,14.45,108.55,KU,NA,70.92218018,60,54.34160614,5275682,2195211,41.61%,41.61
SM0233274_Micralictoides_altadenae_F_hal_65_5x.jpg,SM0233274,233274,Halictidae,Rophitinae,Micralictoides,altadenae,Micralictoides_altadenae,5/9/36,5/9/36,NA,NA,NA,NA,NA,33.4725,-118.605,KU,NA,87.61248016,80,54.38864899,6076719,3226070,53.09%,53.09
SM0233293_Morawitzia_panurgoides_F_hal_65_2x.jpg,SM0233293,233293,Halictidae,Rophitinae,Morawitzia,panurgoides,Morawitzia_panurgoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,KU,NA,67.65891266,55,52.24217224,4893837,1589241,32.47%,32.47
SM0233314_Protodufourea_eickworti_F_hal_65_3x.jpg,SM0233314,233314,Halictidae,Rophitinae,Protodufourea,eickworti,Protodufourea_eickworti,4/15/92,4/15/92,NA,NA,NA,NA,NA,32.22167,-110.9258,KU,NA,74.75608063,66,50.82968521,4840109,1733820,35.82%,35.82
SM0233504_Rophites_quinquespinosus_F_hal_65_3x.jpg,SM0233504,233504,Halictidae,Rophitinae,Rophites,quinquespinosus,Rophites_quinquespinosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,KU,NA,72.61386871,62,51.01971817,5614135,2027076,36.11%,36.11
SM0233565_Rophites_algilus_trispinosus_F_hal_65_3x.jpg,SM0233565,233565,Halictidae,Rophitinae,Rophites,algilus,Rophites_algilus,NA,NA,NA,NA,NA,NA,NA,NA,NA,KU,NA,83.86333466,73,59.01737213,6349627,3267070,51.45%,51.45
SM0233677_Systropha_curvicornis_F_hal_65_3x.jpg,SM0233677,233677,Halictidae,Rophitinae,Systropha,curvicornis,Systropha_curvicornis,8/2/60,8/2/60,Slovakia,Nitra,NA,Nove Zamky,Sturovo,47.8,18.7,KU,NA,70.20638275,61,47.60064316,5229059,1553945,29.72%,29.72
SM0233720_Systropha_planidens_F_hal_65_2x.jpg,SM0233720,233720,Halictidae,Rophitinae,Systropha,planidens,Systropha_planidens,NA,NA,NA,NA,NA,NA,NA,NA,NA,KU,NA,74.15195465,67,50.14253998,3215922,1201705,37.37%,37.37
SM0233749_Xeralictus_timberlakei_F_hal_65_2x.jpg,SM0233749,233749,Halictidae,Rophitinae,Xeralictus,timberlakei,Xeralictus_timberlakei,4/2/98,4/2/98,NA,NA,NA,NA,NA,38.27056,-120.9394,KU,NA,63.01976395,53,47.8351059,4817992,1417653,29.42%,29.42
SM0234680_Ariphanalithra_palpalis_F_hal_65_2x.jpg,SM0234680,234680,Halictidae,Halictinae,Ariphanarthra,palpalis,Ariphanarthra_palpalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,KU,NA,72.76433563,64,50.27000427,3174175,853966,26.90%,26.9
SM0241209_Eufriesea_mariana_F_hal_65_1x.jpg,SM0241209,241209,Apidae,Apinae,Eufriesea,mariana,Eufriesea_mariana,1/22/01,1/22/01,Bolivia,NA,NA,La Paz,NA,-16.5,-68.1,KU,NA,47.98849487,26,55.60992432,3683629,633152,17.19%,17.19
SM0255847_Oxaea_austera_F_hal_65_1x.jpg,SM0255847,255847,Andrenidae,Oxaeinae,Oxaea,austera,Oxaea_austera,10/25/00,10/25/00,NA,NA,NA,NA,NA,-12.6561111,-71.2319444,KU,NA,73.61782074,48,69.69712067,5285228,1825830,34.55%,34.55
SM0292643_Conanthalictus_bakeri_F_hal_65_4x.jpg,SM0292643,292643,Halictidae,Rophitinae,Conanthalictus,bakeri,Conanthalictus_bakeri,3/15/68,3/15/68,NA,NA,NA,NA,NA,32.72528,-114.5377,KU,NA,76.44846344,69,47.03422546,4035783,1455592,36.07%,36.07
SM0307792_Ericrocis_lata_F_hal_65_1x.jpg,SM0307792,307792,Apidae,Apinae,Ericrocis,lata,Ericrocis_lata,8/22/91,8/22/91,NA,NA,NA,NA,NA,26.6833333,-103.6,KU,NA,96.45389557,82,69.84368134,3729203,1946342,52.19%,52.19
SM0317148_Mesocheira_bicolor_F_hal_65_2x.jpg,SM0317148,317148,Apidae,Nomadinae,Mesocheira,bicolor,Mesocheira_bicolor,9/4/91,9/4/91,NA,NA,NA,NA,NA,27.0266667,-108.9216667,KU,NA,50.22184753,39,42.692173,5467353,677136,12.39%,12.39
SM0317711_Specodosoma_beameri_F_hal_65_4x.jpg,SM0317711,317711,Halictidae,Halictinae,Sphecodosoma,beameri,Sphecodosoma_beameri,3/25/92,3/25/92,Mexico,NA,NA,NA,"Durango, Mapimi, 12 km E",25.85,-103.8166667,KU,NA,72.82835388,64,47.8810997,4321680,1400371,32.40%,32.4
SM0318275_Paranthidium_gabbii_F_hal_65_2x.jpg,SM0318275,318275,Megachilidae,Megachilinae,Paranthidium,gabbii,Paranthidium_gabbii,NA,NA,NA,NA,NA,NA,NA,NA,NA,KU,NA,63.0532608,43,59.69561386,7857023,2694414,34.29%,34.29
SM0324946_Protoxaea_gloriosa_F_hal_65_1x.jpg,SM0324946,324946,Andrenidae,Oxaeinae,Protoxaea,gloriosa,Protoxaea_gloriosa,8/26/91,8/26/91,NA,NA,NA,NA,NA,26.7816667,-104.5255556,KU,NA,88.47312164,74,70.83074188,5099214,2596530,50.92%,50.92
SM0325243_Simanthedon_linsleyi_F_hal_65_1x.jpg,SM0325243,325243,Apidae,Apinae,Simanthedon,linsleyi,Simanthedon_linsleyi,8/24/91,8/24/91,Mexico,Durango,NA,Cebollas,Mapimi Estacion Biologica,25.8,-104,KU,NA,90.97478485,85,55.1451149,3635047,2207882,60.74%,60.74
SM0326478_Alcoandrena_porteri_F_hal_65_2x.jpg,SM0326478,326478,Andrenidae,Alocandreninae,Alocandrena,porteri,Alocandrena_porteri,7/1/76,7/1/76,NA,NA,NA,NA,NA,-11.88472,-76.43972,KU,NA,91.02455139,76,66.7780304,6814076,3089231,45.34%,45.34
SM0384279_Dinagapostemon_sicheli_F_hal_65_2x.jpg,SM0384279,384279,Halictidae,Halictinae,Dinagapostemon,sicheli,Dinagapostemon_sicheli,9/19/87,9/19/87,NA,NA,NA,NA,NA,19.39833,-96.99111,KU,NA,125.4839325,121,64.87149048,6638566,4930195,74.27%,74.27
SM0392063_Ancylandrena_timberlakei_F_hal_65_2x.jpg,SM0392063,392063,Andrenidae,Andreninae,Ancylandrena,timberlakei,Ancylandrena_timberlakei,3/20/68,3/20/68,NA,NA,NA,NA,NA,32.57406,-112.86,KU,NA,105.0071411,95,69.99198151,3568157,1997649,55.99%,55.99
SM0392399_Ancylandrena_larreae_F_hal_65_2x.jpg,SM0392399,392399,Andrenidae,Andreninae,Ancylandrena,larreae,Ancylandrena_larreae,3/28/95,3/28/95,NA,NA,NA,NA,NA,33.02306,-114.6103,KU,NA,87.77386475,76,65.30753326,6614158,3147325,47.58%,47.58
SM0399738_Mydrosoma_bohartorum_F_hal_65_2x.jpg,SM0399738,399738,Colletidae,Diphaglossinae,Mydrosoma,bohartorum,Mydrosoma_bohartorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,KU,NA,127.3570328,122,72.70520782,7925620,6068917,76.57%,76.57
SM0402206_Megandrena_mentzeliae_F_hal_65_2x.jpg,SM0402206,402206,Andrenidae,Andreninae,Megandrena,mentzeliae,Megandrena_mentzeliae,NA,NA,NA,NA,NA,NA,NA,NA,NA,KU,NA,127.691658,128,73.78710175,6964682,4839589,69.49%,69.49
SM0402246_Megandrena_enceliae_F_hal_65_2x.jpg,SM0402246,402246,Andrenidae,Andreninae,Megandrena,enceliae,Megandrena_enceliae,NA,NA,NA,NA,NA,NA,NA,34.5,-114.7333333,KU,NA,115.50383,115,67.58473969,8105743,5759756,71.06%,71.06
SM0414612_Mexalictus_mexicanus_F_hal_65_3x.jpg,SM0414612,414612,Halictidae,Halictinae,Mexalictus,mexicanus,Mexalictus_mexicanus,7/6/61,7/6/61,Mexico,NA,NA,Toluca,15.5 mi E,19.3,-99.7,KU,NA,79.51171112,71,52.24144745,3973981,1598768,40.23%,40.23
SM0414717_Paragapostemon_coelestinus_F_hal_65_2x.jpg,SM0414717,414717,Halictidae,Halictinae,Paragapostemon,coelestinus,Paragapostemon_coelestinus,10/24/89,10/24/89,Mexico,Hidalgo,NA,Tepeapulco,NA,19.8,-98.6,KU,NA,96.66847992,90,59.02212143,4396005,2343120,53.30%,53.3
SM0415384_Aztecanthidium_tenochtitlanicum_F_hal_65_1x.jpg,SM0415384,415384,Megachilidae,Megachilinae,Aztecanthidium,tenochtitlanicum,Aztecanthidium_tenochtitlanicum,7/12/89,7/12/89,NA,NA,NA,NA,NA,19.5333,-105.0667,KU,NA,83.79943085,72,65.03865051,2113752,1091417,51.63%,51.63
SM0416689_Paranomada_velutina_F_hal_65_3x.jpg,SM0416689,416689,Apidae,Nomadinae,Paranomada,velutina,Paranomada_velutina,8/18/64,8/18/64,NA,NA,NA,NA,NA,31.83528,-109.0306,KU,NA,97.0622406,89,63.74320221,4700503,2796598,59.50%,59.5
SM0416848_Deltoptila_badia_F_hal_65_1x.jpg,SM0416848,416848,Apidae,Apinae,Deltoptila,badia,Deltoptila_badia,9/3/74,9/3/74,Mexico,Puebla,NA,Izucar de Matamoros,NA,18.6,-98.5,KU,NA,79.06745148,68,57.42874146,2918488,1309076,44.85%,44.85
SM0417719_Anthrophorula_micheneri_F_hal_65_3x.jpg,SM0417719,417719,Apidae,Apinae,Anthophorula,micheneri,Anthophorula_micheneri,9/12/70,9/12/70,NA,NA,NA,NA,NA,29.6875,-97.1083,KU,NA,113.1724091,112,66.75305939,6315338,3887349,61.55%,61.55
SM0417981_Anthrophorula_pygmaea_F_hal_65_3x.jpg,SM0417981,417981,Apidae,Apinae,Anthophorula,pygmaea,Anthophorula_pygmaea,10/3/64,10/3/64,NA,NA,NA,NA,NA,38.18056,-99.09833,KU,NA,106.7193222,101,66.12056732,5994166,3662433,61.10%,61.1
SM0424881_Augochlorodes_turrifaciens_F_hal_65_4x.jpg,SM0424881,424881,Halictidae,Halictinae,Augochlorodes,turrifaciens,Augochlorodes_turrifaciens,NA,NA,NA,NA,NA,NA,NA,NA,NA,KU,NA,69.10214233,55,56.10462189,5564410,1635703,29.40%,29.4
SM0429092_Hypanthidium_mexicanum_F_hal_65_2x.jpg,SM0429092,429092,Megachilidae,Megachilinae,Hypanthidium,mexicanum,Hypanthidium_mexicanum,7/14/89,7/14/89,NA,NA,NA,NA,NA,19.5333,-105.0667,KU,NA,68.80136108,50,61.8193779,2601648,957584,36.81%,36.81
SM0429110_Paranthidium_PCAM3_F_hal_65_2x.jpg,SM0429110,429110,Megachilidae,Megachilinae,Paranthidium,gabbii,Paranthidium_gabbii,8/22/62,8/22/62,Mexico,Hidalgo,NA,Zacatlan,NA,20.9,-98.9,KU,NA,79.28539276,66,61.30991745,6123315,2986400,48.77%,48.77
SM0429596_Protosmia_ribifloris_F_hal_65_3x.jpg,SM0429596,429596,Megachilidae,Megachilinae,Protosmia,ribifloris,Protosmia_ribifloris,5/28/38,5/28/38,NA,NA,NA,NA,NA,36.36972,-121.5892,KU,NA,71.83860016,59,54.91130447,5746794,1709101,29.74%,29.74
SM0430107_Hexepeolus_rhodogyne_F_hal_65_2x.jpg,SM0430107,430107,Apidae,Nomadinae,Hexepeolus,rhodogyne,Hexepeolus_rhodogyne,5/2/86,5/2/86,NA,NA,NA,NA,NA,36.7953,-114.0792,KU,NA,79.05101776,66,58.71450043,3881194,1380889,35.58%,35.58
SM0430150_Holcopasites_calliopsidis_F_hal_65_5x.jpg,SM0430150,430150,Apidae,Nomadinae,Holcopasites,calliopsidis,Holcopasites_calliopsidis,7/8/82,7/8/82,NA,NA,NA,NA,NA,45.22083,-102.7306,KU,NA,63.25789642,51,49.14089203,6316098,1553116,24.59%,24.59
SM0430285_Townsendiella_californica_F_hal_65_4x.jpg,SM0430285,430285,Apidae,Nomadinae,Townsendiella,californica,Townsendiella_californica,6/28/35,6/28/35,NA,NA,NA,NA,NA,34.18972,-118.1303,KU,NA,131.2629395,135,67.28752136,3026313,2042496,67.49%,67.49
